Kanji,On_Reading,Kun_Reading,Meaning,Examples,Components,Koohii_Story_1,Koohii_Story_2,Seen,Update_Date
疲,ヒ,つか・れる,exhausted; tired,疲れ (つかれ) tiredness; fatigue<br>疲れる (つかれる) to get tired; to tire | to be worn out,疒: trailing sickness; sick radical (no. 104) 皮: pelt; skin; hide; leather; skin radical (no. 107),I picture an exhausted sick caveman snuggling up in a comfy pelt blanket.,Your body feels tired when you have a sickness. All you want to do is wrap yourself up in a nice warm pelt and get better.,,
眠,ミン,ねむ・い/ねむ・る,die; sleep,居眠り (いねむり) nodding off (when sitting); dozing<br>睡眠 (すいみん) sleep<br>眠い (ねむい) sleepy<br>眠る (ねむる) to sleep,目: eye; class; look; insight; experience; care; favor 民: people; nation; subjects,In an Orwellian sense/ the eye watching the people never sleeps.,The little boy from The Sixth Sense couldn´t sleep because before his very eyes he saw a dead crowd of people everywhere.,,
破,ハ,やぶ・る/やぶ・れる,break; destroy; rip; defeat,破る (やぶる) to tear; to break; to destroy<br>破産 (はさん) bankruptcy,石: stone 皮: pelt; skin; hide; leather; skin radical (no. 107),Before the invention of scissors or knives/ sharp STONES were used to REND PELTs/ so that caveman designers could complete new styles for the upcoming year.,Rend is a violent/ primitive kind of word. (Image: cavemen rending pelts right off live animals with stone tools).,,
祖,ソ,,ancestor; founder,祖母 (そぼ) (my) grandmother<br>祖父 (そふ) (my) grandfather,,,,,
禁,キン,,ban; prohibit; endure,禁止 (きんし) prohibition; ban<br>禁煙 (きんえん) 'No Smoking'; quitting smoking,林: grove; forest 示: show; indicate; point out; express; display,Similar to radical tyro´s story. If you live in Japan/ your main exposure to this kanji is probably 'no smoking' signs. So I imagine the government enacting a prohibition of tobacco/ and burning whole groves of tobacco plants on an altar (the altar of public health/ or self-righteousness/ if you will).,Hidden in a grove was a church with a secret altar that was stocked full of prohibited alcohol during the American prohibition period of 1920-1933. A local registered himself as a mininster of this altar so he could stock prohibited alcohol 'for sacremental purposes' and share it with his kin (きん).,,
秒,ビョウ,,second,秒 (びょう) second (unit of time),禾: 2-branch tree radical (no. 115) 少: few; little,An hourglass filled with wheat counts time. A few wheat seeds drop every second.,I´ll be with you soon... please wheat a few seconds.,,
移,イ,うつ・す/うつ・る,move; change; transcribe,移す (うつす) to change; to substitute; to transfer<br>移動 (いどう) moving; transfer; migration<br>移る (うつる) to move; to transfer,禾: 2-branch tree radical (no. 115) 多: many; frequent; much,Picture the WHEAT field/ filled with MANY/ MANY stalks of WHEAT. Notice how they SHIFT like waves in the slightest breeze. When you hear SHIFT/ just picture that scene.,Many people are making the shift from white to whole wheat bread.,,
程,テイ,ほど,rule; law; extent; degree,程度 (ていど) degree; amount; grade<br>程（ほど） (ほど) degree; extent,禾: 2-branch tree radical (no. 115) 呈: display; offer; present; send; exhibit,The extent to which some people will go to create ´wheat displays´/ or as some call them ´crop circles´/ is truly amazing.,The wheat crop has come in/ and the mouth of the king is gobbling it all up. Everyone is waiting to see... to what extent will the king manage to eat it this year?,,
算,サン,,abacus; count; calculate,予算 (よさん) estimate; budget<br>計算 (けいさん) calculation,竹: bamboo 目: eye; class; look; insight; experience; care; favor 廾: twenty; 20; twenty or letter H radical (no. 55),Before the time of digital calculators/ people used old school calculators made of bamboo (abacus). It´s not as easy as a calculator/ but you don´t need any batteries either. All you need are your eyes and your two hands.,Tip : you may see this as an Abacus/ which is used to calculate. This particular ancient chinese Abacus has eyeballs in place of beads/ and its frame is made of bamboo. You´d be amazed at how fast people can calculate with this/ especially if they can use both hands at once to move the ... eyeballs.,,
節,セチ/セツ,ふし,knot; joint; knuckle; occasion; chance; punctuation,節 (ふし) joint<br>節約 (せつやく) economising; saving<br>季節 (きせつ) season,,,,,
簡,カン,,simple;  brevity,簡単 (かんたん) simple,竹: bamboo 間: interval; space,[simplicity; brevity] The ししおどし is a bamboo device for scaring birds from the gates of your garden by clacking against a stone at regular intervals. Its design is simplicity itself. (Inspired by PepeSeco).,The simplicity of bamboo plant is in all its joints being at equal intervals.,,
精,ショウ/セイ,,purify; refine; spirit; heart; ghost,精神 (せいしん) mind; soul; heart; spirit,米: rice; USA; metre 青: blue; green,Very refined people in the upper classes have skin as pale as rice and blue blood.,'Uh/ why is your rice blue?' 'It's been refined! And by 'refined' I mean it's been in the back of my fridge for a few months.'.,,
糸,シ,いと,string,糸 (いと) thread; string,糸: thread/ string/ thread radical (no. 120),I also went with Spiderman. However/ in the cases where this primitive appears under other primitives/ as opposed to on the left (I think there are ~5 times in this chapter) I´ve opted to use a similar character: Venom. This helps keep the positioning clear/ especially on such characters as dainty (#1363) and accumulate (#1364).,You´ll be seeing this one a lot. Seriously.,,
紅,ク/コウ,くれない/べに,crimson,紅茶 (こうちゃ) black tea,糸: thread 工: craft; construction; katakana e radical (no. 48),After Spider-Man is whacked in the head with a I-beam/ crimson blood flows from the wound.,A person's first piece of thread craft is often stained crimson due to bleeding from the needle wounds sustained in the process.,,
絶,ゼツ,た・える/た・つ/た・やす,stand; bear; stop; eradicate; extremely; very,絶対 (ぜったい) absolutely; unconditionally<br>絶滅 (ぜつめつ) extinction; extermination,糸: thread 色: color,I can't finish my sewing project because the thread color I was using was discontinued.,As times move on and fashion tastes inevitably change/ threads of certain colors often get discontinued.,,
緒,ショ/チョ,お,thread; string; connection; beginning,一緒 (いっしょ) together | at the same time,糸: thread 者: someone; person,Spiderman has a secret fetish/ he likes nothing better than to dress his lovedoll in a thong. Wierd/ eh!,A thread is just the right size for a puppets thong.,,
罪,ザイ,つみ,crime; sin,犯罪 (はんざい) crime; offence<br>罪 (つみ) crime; sin,网: net; net or net crown radical (no. 122) 非: un-; mistake; negative; injustice; non-,Guilty under the eyes of the law/ therefore sentenced to jail. [note: ´UNDER the eye of the law´ works in penalty (#833) as well.].,It is his guilt that is causing them. He is having these nightmares where the great (sideways) eye appears at the top of his jail cell/ and is staring down intently at him. Guilt is a merciless tormentor.,,
署,ショ,,signature; government office; role; duty,署名 (しょめい) signature,,,,,
背,ハイ,せ/せい/そむ・く/そむ・ける,back; behind; abandon; turn one's back on,背が伸びる (せがのびる) to grow (height)<br>背中 (せなか) back (of body)<br>背 (せい) height,北: north 肉: meat,While japanese people are generally small/ people in the northern contryes have taller stature because of all the flesh they eat!,Up in the Great White North/ we eat a lot of meat - thus giving us great STATURE. Mmmm.... baby seals.,,
能,ノウ,,ability; skill,可能 (かのう) possible; feasible<br>才能 (さいのう) talent; ability<br>有能 (ゆうのう) able; capable<br>機能 (きのう) function; feature<br>能力 (のうりょく) ability; faculty,厶: I; myself; katakana mu radical (no. 28) 月: month; moon 匕: spoon; spoon or katakana hi radical (no. 21) 匕: spoon; spoon or katakana hi radical (no. 21),This man may have the dis-ability of no flesh below the elbows/ but he can eat with 2 spoons/ on in each foot.,Kid from the Oracle´s place in the Matrix (whose head is shining like the moon) is holding a a spoon and making it bend using his special ability. When Neo asks to learn this ability the child replies/ ' Remember the truth Neo/ there is no spoon.' Neo Proceeds to the kitchen pondering these words of wisdom. The Child smiles mischeviously and pulls a second spoon hidden up his sleeve in the crook of his elbow. 'That´s right Neo/' the child laughs/ 'there is no spoon...there are two spoons!'.,,
裏,リ,うら,reverse; backside; internal,裏切る (うらぎる) to betray<br>裏 (うら) bottom; back,衣: garment; clothes; dressing 里: ri; village; parent's home; league,The computer had carefully dressed up in clothes to look human. It was n´t until I looked at the back and saw the cables and stuff that I realized what it was.,Can computers be gay? I´m not sure/ but mine always wears a top hat and scarf/ and for some reason its back door port is always open...,,
規,キ,,compass; standard; to correct; measure,規則 (きそく) rule; regulation,夫: husband; man 見: see; hopes; chances; idea; opinion; look at; visible,In the male-dominated world of yesterday/ the husband´s way of seeing things was considered the standard point of view. Women who dared to disagree were frowned upon.,Unfortunately/ Homer Simpson is the standard model of a husband in American society. (Placement: You have to look in the RIGHT places to find one that doesn´t fit that mold.).,,
訪,ホウ,おとず・れる/たず・ねる,visit; call on,訪問 (ほうもん) call; visit<br>訪ねる (たずねる) to visit; to call on,言: say 方: direction; person; alternative,When you call on someone/ you point your words in their direction.,When calling on a girl/ you´d better what what sweet words will turn her fancy in your direction. (Image: last century teenagers on a frilly couch in the sitting room/ she with her back to him/ and he fumbling for the right words to turn her around).,,
許,キョ,ゆる・す,approve; permit,免許 (めんきょ) license<br>許す (ゆるす) to permit; to allow; to forgive<br>許可 (きょか) permission; approval,言: say 午: noon; sign of the horse; 11AM-1PM; seventh sign of Chinese zodiac,If horses could speak/ you might have to ask their permission before mounting them.,Mr Ed ( a famous talking horse ) was finally at a loss for words when told he would need a permit for public speaking.,,
誤,ゴ,あやま・る,error; mistake; wrong,誤り (あやまり) error; mistake<br>誤解 (ごかい) misunderstanding,言: say 呉: give; do something for,You must give words of apology when you make a mistake.,It is a rookie mistake to believe the words when your sweetie says 'You don´t have to give me anything for my birthday.' Trust me/ your sweetie wants something/ something shiny/ and if you disappoint/ you will suffer.,,
論,ロン,,argue; discuss; point of view,卒業論文 (そつぎょうろんぶん) graduation thesis<br>理論 (りろん) theory<br>結論 (けつろん) conclusion<br>論文 (ろんぶん) thesis; essay<br>議論 (ぎろん) argument; discussion,言: say 侖: think; be methodical,Right part: academic conference (a meeting/ some of the attendees making notes in scrapbooks during presentation). Argument at academic conferences is naturally carried out using words.,It´s very difficult to present a good argument if you don´t bring along a scrapbook with some key words jotted down to the meeting.,,
識,シキ,,to know; record; write down,常識 (じょうしき) common sense<br>意識 (いしき) consciousness; awareness<br>知識 (ちしき) knowledge,言: say 戠: sword; potter's clay; to gather,Words are difficult to discriminate/discern from sounds in the middle of a fiesta.,I have discriminating taste. I´d rather listen to the words of a lecture than attend a kazoo concert. (Picture some snobby guy in a tweed jacket turning up his nose at entering a loud raucous kazoo recital).,,
財,サイ/ザイ,,assets; wealth,財産 (ざいさん) property; assets<br>財布 (さいふ) purse; wallet,貝: shellfish 才: genius; years old; cubic shaku,If you´re a money genius/ you can afford a lot of property.,The keyword refers to property in the sense of money or funds rather than of buildings or real estate. Keep this one distinct from frame 193 (“wealth”) and frame 473 (“assets”). Here we have a genie/ gulping down oysters. Someone tries to grab an oyster and the genie puts his big arms around his oysters and states his “right of ownership” : “They´re mines/ my property!”.,,
貧,ヒン/ビン,まず・しい,poverty,貧しい (まずしい) poor; scanty; inadequate,分: part; minute of time; segment; share; degree; one's lot; duty; understand; know; rate; 1%; chances; shaku/100 貝: shellfish,In the case of true poverty/ not having money is only part of the problem. There are other components as well/ like lack of education/ class structuring/ etc./ but that doesn´t really matter. Just remember that the money is only part of it/ not the whole.,Parting with your money will lead to poverty.,,
責,セキ,せ・める,blame; condemn,責める (せめる) to blame; to criticize; to press; to persecute<br>責任 (せきにん) responsibility,貝: shellfish,As one grows up/ one typically starts to blame all of their problems on money.,This is the story of a poor fisherman and his wife. A long time ago he caught an oyster with a small but precious pearl. The intelligent wife told him to sell the pearl immediately: the greedy husband figured if he kept the oyster and fed it/ it would grow up and yield an even bigger pearl. One day the oyster grew so big/ it crashed through the house and escaped back to sea. The angry wife left her husband/ blaming his blind greed for their poverty.,,
農,ノウ,,agriculture,農家 (のうか) farmer<br>農業 (のうぎょう) agriculture<br>農民 (のうみん) farmer,曲: bend; music; melody; composition; pleasure; injustice; fault; curve; crooked; perverse; lean 辰: sign of the dragon; 7-9AM; fifth sign of Chinese zodiac; shin dragon radical (no. 161),Imagine if you could bend a dragon to your will. Helpful in war/ yes/ but also a boon for agriculture. The dragon could use its sharp claws to plough the ground/ and use its firey breath to clear the land. But first you'd have to bend the dragon to your will -- not an easy task.,It's a good agricultural sign when/ as the farmer is bending down/ he discovers some plants arranged in the sign of the dragon. It means the weather and earth will be supportive of the crops.,,
辺,ヘン,あた・り,boundary; border; vicinity,この辺り (このあたり) this area; around here<br>辺り (あたり) neighborhood; vicinity; nearby<br>辺 (へん) area; vicinity,刀: sword; saber; knife 辶: walk; walking; road radical variant (no. 162),Caution: this kanji doesn´t mean environment; it means 'environs; boundary; border; vicinity'. To separate the environs/ create the border by placing daggers on the road.,To protect the environs around their village/ samurai would travel the roads with their swords.,,
込,,こ・む/こ・める,crowded; included; packed,申し込む (もうしこむ) to apply for<br>込む (こむ) to be crowded; to be packed,入: enter; insert 辶: walk; walking; road radical variant (no. 162),During a traffic jam it is impossible to get your car to enter the roadway as it is crowded with cars. Think of a grid lock so bad cars are litterally scraping up against each other like people on a Japanese train during rush hour.,Everybody tries to enter the road during rush hour. That´s why it´s so crowded.,,
迷,メイ,まよ・う,be lost; confused; unclear; hesitate,迷う (まよう) to be lose one's way; to be puzzled<br>迷子 (まいご) lost child<br>迷惑 (めいわく) trouble; annoyance<br>迷惑メール (めいわくメール) spam (email),米: rice; USA; metre 辶: walk; walking; road radical variant (no. 162),The road that the USA is heading down is/ well... let´s just say that they´re astray...,If you go astray/ just follow the rice you dropped along the road to find your way back.,,
退,タイ,しりぞ・く/しりぞ・ける,withdraw; retreat; retire; repel,引退 (いんたい) retirement<br>退屈 (たいくつ) tedium; boredom; dullness<br>退院 (たいいん) discharge from hospital,艮: northeast (Oriental zodiac); stopping; good radical (no. 138) 辶: walk; walking; road radical variant (no. 162),If you see silver on the road (eg. gun/ armour/ sword) => retreat!,In the land of Oz/ you advance by following the golden road/ but you reatreat by following the Silver Road.,,
遅,チ,おく・らす/おく・れる/おそ・い,late; slow,遅刻 (ちこく) being late<br>遅れる (おくれる) to be late<br>遅い (おそい) slow | late (e.g. 'late at night'),尸: corpse; remains; flag radical (no. 44) 羊: sheep 辶: walk; walking; road radical variant (no. 162),A sheep crossing guard waves a SLOW flag for his fellow sheep crossing the road.,Road sign (flag): 'Sheep on highway! Drive slowly.'.,,
違,イ,ちが・う/ちが・える,differ,違い (ちがい) difference<br>違いない (ちがいない) sure; for certain; no mistaking it<br>違反 (いはん) violation; offense<br>間違い (まちがい) mistake; error<br>間違いない (まちがいない) sure; for certain; no mistaking it<br>間違う (まちがう) to make a mistake; to be mistaken<br>間違える (まちがえる) to make a mistake<br>違う (ちがう) to differ (from),韋: tanned leather radical (no. 178) 辶: walk; walking; road radical variant (no. 162),You lose your precious locket on the road to somewhere. You ask people if they´ve seen it/ but no luck. 'Just buy another one/' someone says. 'I mean/ what´s the difference?' Then of course you say 'Well/ it makes a huge difference!! Since it has sentimental value/ I don´t want a different one! ' Then of course they understand.,An odd version of The Road Less Traveled: 'I found a locket in the road/ and that has made all the difference.'.,,
郵,ユウ,,(postal) mail,郵便 (ゆうびん) postal service; mail<br>郵便局 (ゆうびんきょく) post office,垂: droop; suspend; hang; slouch 邑: village; rural community; right village radical (no. 163),The drooping citywalls was generating a lot of angry mail for the city officials. Hint: think 'hate mail' and you will remember this one. [thx CharleyGarrett].,The city walls droop down in one spot so that the mailtman can throw the mail over.,,
防,ボウ,ふせ・ぐ,defend; resist; surround; rival; equal,予防 (よぼう) prevention<br>消防 (しょうぼう) fire fighting<br>防ぐ (ふせぐ) to defend against; to prevent; to avoid,阜: hill; mound; left village radical (no. 170) 方: direction; person; alternative,A giant compass is The Pinnacle´s self-defense system. It points in the direction of any invaders so the city is prepared well ahead to ward off the intruders.,To ward off enemies/ the ancient Greece kept watch from the Acropolis/ where they had a clear view in all directions.,,
除,ジ/ジョ,のぞ・く,exclude; remove; division (math),除く (のぞく) to remove; to eliminate; to exclude<br>掃除 (そうじ) cleaning,阜: hill; mound; left village radical (no. 170) 余: too much; myself; surplus; other; remainder,You won´t make it unless you exclude something. The climb to the pinacle cannot be completed if you are carrying too much. You just have to decide what you can afford to exclude.,To become a member of The Pinnacle/ they test you on a scale. If you weigh too much/ they exclude you.,,
頂,チョウ,いただき/いただ・く,peak; summit,頂きます (いただきます) expression of gratitude before meals<br>頂上 (ちょうじょう) top; summit; peak<br>頂く (いただく) (hum) to receive,丁: street; ward; town; counter for guns/ tools/ leaves or cakes of something; even number; 4th calendar sign 頁: page; leaf,If I put a street sign on my head what do I get ? A place on the head !,NAILS - place directly on the forehead/ NAILS - place directly on the forehead/ NAILS - place directly on the forehead/ 　　　The HEAD ON commercial nails it into your head......,,
順,ジュン,,obey; follow; well behaved; order; sequence,順 (じゅん) order; ranking<br>順番 (じゅんばん) order; sequential order<br>順調 (じゅんちょう) favourable; OK; all right,巛: curving river radical (no.47) 頁: page; leaf,Obey/ Obey! says the brain-washing scientist as he sends a stream of orders to fill your head.,Obey the orders streaming down from head office.,,
預,ヨ,あず・かる/あず・ける,entrust to; deposit,預ける (あずける) to entrust; to deposit; to leave in one's care,予: beforehand; previous; myself; I 頁: page; leaf,Depositing money into your savings account is something you do beforehand if you use your head. If you´re in Japan your passbook says 預金機（よきんき）when you make a deposit.,You bang your head on the ATM/ wishing you´d deposited some money beforehand.,,
額,ガク,ひたい,forehead; fixed amount; plaque; sign,金額 (きんがく) amount of money<br>額 (ひたい) forehead; brow,客: guest; visitor; customer; client 頁: page; leaf,Sign the guestbook page with your forehead. (Picture a guestbook full of forehead prints like thumbprints).,In New Zealand/ people welcome guests by touching their foreheads together.,,
骨,コツ,ほね,bone,骨 (ほね) bone<br>骨折 (こっせつ) broken bone,月: month; moon,Your body meat is attached to the bone joints of your skeleton.,The top box 口 is the skull and the brain 田 has shriveled to the size of marble (but following kanji convention it is depicted as a square) and rolled into the bottom right hand corner. With all the hair and flesh gone the crown has slipped down to the shoulders like a necklace. 月 represents the rest of the body of the skeleton. [Idea for position of crown thanks to n1williams].,,
与,ヨ,あた・える,award; bestow; take part in; cooperate,与える (あたえる) to give; to bestow,一: one; one radical (no.1),David went to battle with a slingshot and it only took him one shot to slay Goliath. Partly because of this/ the prophet Nathan was later instructed to bestow upon David the throne of all Israel.,In The Legend of Zelda Ocarina of Time/ one of the first weapons bestowed on Link was the slingshot.,,
久,キュウ/ク,ひさ・しい,long time,永久 (えいきゅう) eternity; perpetuity<br>久しぶり (ひさしぶり) a long time; it's been a while,勹: wrapping enclosure; wrapping radical (no. 20),Note: this is the ひさ in ひさしぶり . Long time no see mummy! (A bound up person).,This is a picture of a person bowing 'long time no see!'.,,
互,ゴ,たが・い,mutually; reciprocally,お互い (おたがい) mutual; reciprocal,二: two; two radical (no.2) 彑: pig's head radical variant (no. 58),The 69 position allows both parties to mutually give themselves pleasure.,If you can combined your walls with another house´s walls/ both houses would mutually benefit/ by the increase in size....,,
倒,トウ,たお・す/たお・れる,knock down; fall; collapse,倒す (たおす) to knock down; to ruin<br>面倒 (めんどう) trouble; bother<br>倒れる (たおれる) to fall; to collapse | to be ruined | to be defeated (in a game),人: person 到: arrival; proceed; reach; attain; result in,The A-Team are planning to overthrow the government. However/ they can´t do a damn thing until Mr T arrives.,In Return of the Jedi/ after a climactic light sabre battle/ Luke and Vader overthrow the emporer (literally throwing him over the balcony).,,
偶,グウ,,unexpected; accidentally; even number; same kind,偶然 (ぐうぜん) coincidence,人: person 禺: long-tailed monkey,Mr. T accidentially stepped on Jiminy Cricket (a brainy insect/ with a belt sort of sash to hold his 'conscience' badge).,Mr. T accidentally steps on Jiminy Cricket. // Primitive: right side: Talking cricket = Jiminy Cricket/ a brainy insect with a belt to whip little kids who misbehave.,,
到,トウ,,arrive; attain; invert,到着 (とうちゃく) arrival,至: climax; arrive; proceed; reach; attain; result in 刀: sword; saber; knife,Http://img168.imageshack.us/img168/7731/karatesd3.jpg Just look at this image...,Just as we were about to climax her father arrived with a sword.,,
刺,シ,さ・さる/さ・す,stab; pierce; calling card,刺激 (しげき) stimulus,朿: thorn 刀: sword; saber; knife,A TREE with a BELT wrapped around the middle. If you tighten the BELT/ hundreds of tiny SABERS pop out of the tree in all directions/ looking like THORNS.,The BELT TREE has THORNS like SABERS.,,
効,コウ,き・く,benefit; efficacy,効く (きく) to be effective<br>効果 (こうか) effect; efficacy<br>効果的 (こうかてき) effective; successful<br>有効 (ゆうこう) effective,交: mingle; mixing; association; coming & going 力: power; strength; strong; strain; bear up; exert,Mingling with the powerful can bring you success/ bypassing the need for any merit.,There is great merit in mingling with the powerful.,,
可,カ,,can; passable,不可 (ふか) not possible<br>不可能 (ふかのう) impossible<br>可能 (かのう) possible; feasible<br>許可 (きょか) permission; approval<br>可愛い (かわいい) cute; adorable; charming,丁: street; ward; town; counter for guns/ tools/ leaves or cakes of something; even number; 4th calendar sign 口: mouth,A mouth on the street asking for things: 'Can I get some help?! Can I get directions/ Can I have some money? Can you please speak English?!'.,I can eat nails.,,
善,ゼン,よ・い,good; virtuous,改善 (かいぜん) improvement,羊: sheep 口: mouth,Imagine a priest´s teaching: 'To achieve virtue one must first submit himself as a sheep to God´s flock/ rejecting the horns of Satan and resisting the mouth of Hell.,To be virtuous/ a good rule to follow is to put your sheepishness (discretion) over your horns (anger) before using your mouth. In other words/ 'discretion is the better part of virtue'.,,
均,キン,,average; level,平均 (へいきん) average; mean; balance; equilibrium,土: soil; earth; ground; Turkey 匀: equal,Soil is scooped up into a ladel. The extra drop is brushed off to make it level.,To remember the extra stroke in the ladle/ make a vivid image of a big drop of excess soil fr0m the ladle falling out onto the ground when you level it.,,
城,ジョウ,しろ,castle,城 (しろ) castle,土: soil; earth; ground; Turkey 成: turn into; become; get; grow; elapse; reach,The sand castle is just the soil (#150) that turns into a castle.,Someday this mound of dirt here will turn into our CASTLE/ the ants think to themselves when scoping out a new ant hill.,,
域,イキ,,level; limit; range,地域 (ちいき) area; region,土: soil; earth; ground; Turkey 或: some; one; or; possibly; a certain,An astronaut lands back at the launch range/ kisses the earth beneath him with his mouth/ then heads off to a fiesta to celebrate a safe flight.,Instead of Heisig´s 'Fiesta' I use 'Spear'. Why? A spear is just a DROP extra on an Arrow. 域/ range actually means range as in limits/boundary/border sort of range(In a box it was the old meaning for Country國 (581). Ok way too much etymology here/ but back to story. With your SPEAR standing in a HOLE on the FLOOR with SOIL to its left9as you dug some out)/ you can see the RANGE of the spear in attacking a possible enemy (re Diablo and other RPGs/ spear´s have range).,,
基,キ,もと/もとい,foundation; basis; be based on,基づく (もとづく) to be based on; to originate from<br>基本 (きほん) foundation; basis,其: that 土: soil; earth; ground; Turkey,Fundamentals of chess: use the rooks to protect your ground.,A Bushel-basket full of earth contains the fundementals of farming. i.e. earth.,,
士,シ,,gentleman; samurai,博士 (はかせ/はかし) doctorate; PhD<br>弁護士 (べんごし) lawyer; attorney,士: scholar/ bachelor (radical no. 33),What a handsome gentleman. Standing up so straight/ and broad shoulders too!! He´s like a modern samurai!,A gentleman has broad shoulders and doesn´t soil himself.,,
奥,オウ,おく,interior; all the way inside,奥 (おく) inside; interior; depths; back<br>奥さん (おくさん) (hon) wife; your wife,丿: katakana no radical (no. 4) 冂: upside-down box radical (no. 13) 米: rice; USA; metre 大: large; big,In the core of a nuclear reactor/ scientists have discovered a way to get power from rice/ by penting it in under high pressure. It´s very dangerous/ so they´ve trained a st. bernard dog to run things/ he´s adding more drops of rice as necessary.,奥さん　（おくさん) is a common way to say 'wife'. In the innermost core of the house/ the bored pent up housewife drops her chores and consumes so much rice she becomes a very large housewife.,,
娘,,むすめ,daughter,娘 (むすめ) (my) daughter,女: woman; female 良: good; pleasing; skilled,Your daughter is a good girl......well/ let´s hope so... :-).,Be careful not to think woman + angel here/ which has already been seen for attractive (#430). Suggest using woman with a halo/ as in an innocent girl/ something that everyone sees their daughters as being.,,
宝,ホウ,たから,treasure,宝 (たから) treasure<br>宝くじ (たからくじ) lottery | lottery ticket<br>宝石 (ほうせき) gem; jewel,宀: shaped crown; katakana u radical (no. 40) 玉: jewel; ball,On treasure island is a single house - where all the jewels are stored.,Put a 'roof' (lid) on your jewels and voila! You´ve got a treasure chest.,,
導,ドウ,みちび・く,guide; lead,指導 (しどう) guidance; instruction<br>指導員 (しどういん) instructor,道: road-way; street; district; journey; course; moral; teachings 寸: measurement; foot/10,For guidance on the road-way/ glue a GPS unit to your car.,Good guidance will help you stay glued to the right path.,,
布,フ,ぬの,cloth,布 (ぬの) cloth<br>毛布 (もうふ) blanket<br>布団 (ふとん) futon<br>財布 (さいふ) purse; wallet,巾: towel; hanging scroll; width; cloth radical (no. 50),A matador holding his red linen by his side.,The first rule of the Hitch-Hiker´s Guide to the Universe is 'DON´T PANIC!' The second rule/ of course/ is to always have a towel by your side. Personally/ I prefer the linen sort.,,
張,チョウ,は・る,stretch; spread; play (string instrument),主張 (しゅちょう) claim; assertion<br>引っ張る (ひっぱる) to pull out; to draw out<br>緊張 (きんちょう) nervousness; stress<br>頑張る (がんばる) to persevere; to persist,弓: bow; bow (archery/ violin) 長: long; leader,The longbow is follows the design of a standard bow/ only it has been lengthened.,Legolas recieves spam telling him that his can lengthen his 'bow'...he smirks...he know´s it´s already long enough.,,
彼,ヒ,かの/かれ,he,彼 (かれ) he; him<br>彼ら (かれら) they (usually male); them<br>彼女 (かのじょ) she; her | girlfriend,彳: stop; linger; loiter; going man radical (no. 60) 皮: pelt; skin; hide; leather; skin radical (no. 107),What´s the main difference between a he and a she? The he has a column covered in a pelt... a penis. Badum-ching.,The ultimate he-man is the Neanderthal cave man. His club is as big as a pillar (column)/ and he wears a ragged pelt as his only clothing. To remember the column/ imagine the cave man resting the club vertically like a column when not in use.,,
怒,ド,いか・る/おこ・る,to become angry,怒る (おこる) to get angry,奴: guy; slave; manservant; fellow 心: heart; mind; spirit; heart radical (no. 61),This woman is angry because of the guys in the previous frame who pay more attention to her crotch than her heart. I prefer to decompose the kanji in three elements here because it is easier to read like a mnemonic.,WOMEN get very ANGRY over the thought that GUYS are more interested in her CROTCH than her HEART.,,
怖,フ,こわ・い,be frightened; afraid,恐怖 (きょうふ) fear; dread<br>怖い (こわい) scary; frightening,心: heart; mind; spirit; heart radical (no. 61) 布: linen; cloth,Someone in a dreadful state of mind has crawled into his bed and is hiding under the sheets (linens).,Being an android/ Data is white as a sheet. Doctor Crusher always has to remind herself that this is perfectly normal. From a doctor´s perspective/ he really does look dreadful.,,
恐,キョウ,おそ・れる/おそ・ろしい,fear; awe,恐れる (おそれる) to fear<br>恐ろしい (おそろしい) dreadful; terrifying; frightening<br>恐怖 (きょうふ) fear; dread,工: craft; construction; katakana e radical (no. 48) 凡: mediocre 心: heart; mind; spirit; heart radical (no. 61),If your heart surgeon is mediocre in his craft/ you have plenty of reason to fear. ('Oops/ I think I left my scissors in there').,My deep dark fear at the bottom of my heart is that I am mediocre at my craft.,,
恥,チ,はじ/は・じらう/は・じる/は・ずかしい,dishonor,恥ずかしい (はずかしい) embarrassed; shameful; shy,耳: ear 心: heart; mind; spirit; heart radical (no. 61),Amelia Ear-Heart (sic) brought shame to those who said women couldn´t fly.,Vincent Van Gogh´s greatest shame was cutting off his ear to win the heart of a woman.,,
抱,ホウ,いだ・く/かか・える/だ・く,embrace; hold,抱える (かかえる) to hold or carry under or in the arms<br>抱く (いだく/だく) to embrace; to hug,手: hand 包: wrap; pack up; cover; conceal,When embracing someone/ wrap your fingers around her butt for added effect. You may think of 'bound with snakes' as a description of the fingers slithering around the buttocks/ if you want a particularly graphic image.,Here/ I´m picturing that scene from ET (the extra terrestrial)/ where ET hugs Elliot before leaving. You see that EMBRACE is ET´s long FINGERS that WRAP around Elliot.,,
普,フ,,widely; generally; universally,普段 (ふだん) usual; everyday<br>普通 (ふつう) usual; ordinary,並: row; and; besides; as well as; line up; rank with; rival; equal 日: day; sun; Japan; counter for days,A row of suns is actually a normal/ plain/ and ordinary occurrence in an infinitely large and expanding universe. FUtsuu.,To me/ row is way too close to file (#812)/ so I´m adopting Fab´s meaning of rowboat from the previous frame. Universal Studios went through a number of logo animations before settling on the one they are most famous for: the letters UNIVERSAL orbiting the Earth. One of the most ridiculous of these involved a man rowing himself in a boat around the sun.,,
